Brand,Price,Rating,Ram,Color,Processor,Storage_Gb
HP,69990.0,3.4,16.0,Silver,Apple M365,512.0
Apple,73990.0,4.8,8.0,Silver,Apple A18,256.0
Lenovo,44999.0,4.0,8.0,Silver,AMD,512.0
ASUS,65990.0,4.1,16.0,Blue,Apple M365,512.0
Apple,73990.0,4.7,8.0,Silver,Apple A18,256.0
Apple,172490.0,4.7,16.0,Gray,Apple M5,1000.0
ASUS,67990.0,4.0,16.0,Silver,Apple M365,512.0
Dell,69990.0,3.8,16.0,Gray,Intel,512.0
Apple,464490.0,5.0,36.0,Black,Apple M5,2000.0
HP,115990.0,3.6,16.0,Silver,Intel,1000.0
Acer,44990.0,4.1,8.0,Silver,Apple A114,256.0
Acer,35990.0,1.0,8.0,Silver,Apple A114,256.0
HP,44990.0,4.2,12.0,Silver,Apple M365,512.0
HP,69790.0,4.0,16.0,Silver,Apple M365,512.0
Apple,342490.0,4.6,24.0,Silver,Apple M5,2000.0
HP,69990.0,3.4,16.0,Silver,Apple M365,512.0
Apple,194990.0,4.8,24.0,Gray,Apple M5,1000.0
ASUS,28990.0,4.3,4.0,Gray,MediaTek,64.0
Acer,49990.0,3.7,8.0,Silver,Apple M365,512.0
Lenovo,54990.0,4.4,8.0,Gray,AMD,512.0
Apple,73990.0,4.7,8.0,Silver,Apple A18,256.0
HP,95990.0,4.1,6.0,Blue,AMD,512.0
HP,49350.0,4.1,8.0,Silver,AMD,512.0
Apple,342490.0,4.5,24.0,Silver,Apple M5,1000.0
Apple,200490.0,4.7,16.0,Silver,Apple M5,1000.0
Lenovo,69999.0,3.8,16.0,Gray,AMD,512.0
Apple,83490.0,4.8,8.0,Gray,Apple A18,512.0
ASUS,82990.0,4.2,16.0,Silver,Apple M365,512.0
Acer,47990.0,3.8,8.0,Silver,Apple A114,512.0
Lenovo,55990.0,4.1,8.0,Gray,AMD,512.0
Lenovo,56800.0,5.0,16.0,Gray,AMD,512.0
Lenovo,54058.0,4.6,8.0,Gray,Intel,512.0
HP,58990.0,4.3,16.0,Silver,Intel,512.0
HP,67400.0,3.9,16.0,Silver,Apple M365,512.0
HP,69990.0,3.4,16.0,Silver,Apple M365,512.0
Apple,342490.0,4.6,24.0,Silver,Apple M5,2000.0
Apple,194990.0,4.8,24.0,Black,Apple M5,1000.0
Lenovo,87990.0,4.2,24.0,Gray,Intel,1000.0
HP,79990.0,4.1,16.0,Silver,Snapdragon,512.0
Lenovo,54990.0,4.4,8.0,Gray,AMD,512.0
Apple,73990.0,4.7,8.0,Silver,Apple A18,256.0
Apple,73990.0,4.8,8.0,Black,Apple A18,256.0
HP,42999.0,3.2,8.0,Black,Intel,512.0
HP,85990.0,3.3,24.0,Silver,Apple M365,1000.0
Apple,342490.0,4.5,24.0,Silver,Apple M5,1000.0
Apple,200490.0,4.7,16.0,Silver,Apple M5,1000.0
HP,68699.0,3.0,16.0,Silver,Apple M365,512.0
HP,84990.0,4.0,16.0,Silver,Snapdragon,1000.0
Acer,44990.0,5.0,8.0,Silver,AMD,256.0
ASUS,24990.0,3.7,4.0,Blue,MediaTek,64.0
Acer,39890.0,3.3,12.0,Silver,Apple A325,512.0
ASUS,48990.0,3.5,8.0,Silver,Apple M365,512.0
Lenovo,67999.0,4.2,16.0,Gray,AMD,512.0
HP,77990.0,3.0,16.0,Silver,Apple M365,512.0
Lenovo,98990.0,3.7,16.0,Gray,Intel,512.0
HP,69990.0,3.4,16.0,Silver,Apple M365,512.0
Apple,342490.0,4.6,24.0,Silver,Apple M5,2000.0
Apple,194990.0,4.8,24.0,White,Apple M5,1000.0
HP,129990.0,4.1,8.0,Silver,Apple M365,1000.0
Lenovo,56690.0,3.6,16.0,Gray,AMD,512.0
Lenovo,54990.0,4.4,8.0,Gray,AMD,512.0
